Sample in Buffer,Sample in Window,TRIGGER,x[9:0],y[9:0],p_c_down,p_c_up,w_en,p_c_left,e_cd_reg[1:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,p_c_right,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,move_cnt_reg[3:0],<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,motion_timer_reg[21:0],e_state_reg[2:0],<const0>_26,<const0>_27,<const0>_28,<const0>_29,<const0>_30,<const0>_31,<const0>_32,<const0>_33,<const0>_34,<const0>_35,<const0>_36,<const0>_37,<const0>_38,<const0>_39,<const0>_40,<const0>_41,<const0>_42,<const0>_43,<const0>,random_16_1[15:0],random_16[15:0],data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
61,61,0,344,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6f24,6f24,de48
62,62,0,344,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,de48,de48,bc91
63,63,0,344,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bc91,bc91,7922
64,64,0,344,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7922,7922,f244
65,65,0,345,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f244,f244,e489
66,66,0,345,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e489,e489,c913
67,67,0,345,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c913,c913,9227
68,68,0,345,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9227,9227,244e
69,69,0,346,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244e,244e,489c
70,70,0,346,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489c,489c,9138
71,71,0,346,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9138,9138,2270
72,72,0,346,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,2270,44e1
73,73,0,347,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44e1,44e1,89c3
74,74,0,347,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89c3,89c3,1387
75,75,0,347,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,1387,270f
76,76,0,347,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270f,270f,4e1e
77,77,0,348,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e1e,4e1e,9c3d
78,78,0,348,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c46b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9c3d,9c3d,387b
